Tue Mar 28 14:28:33 EDT 2017 |  coup(joue) H : b2b4
Tue Mar 28 14:28:33 EDT 2017 |  coup(inscrit) H : b2b4
Tue Mar 28 14:28:33 EDT 2017 |  coup M : g8f6
Tue Mar 28 14:39:09 EDT 2017 |  coup(joue) H : a2a2
Tue Mar 28 14:39:09 EDT 2017 |  coup(inscrit) H : a2a2
Tue Mar 28 14:39:09 EDT 2017 |  coup M : g8f6
Tue Mar 28 14:40:00 EDT 2017 |  coup(joue) H : b2b2
Tue Mar 28 14:40:00 EDT 2017 |  coup(inscrit) H : b2b2
Tue Mar 28 14:40:00 EDT 2017 |  coup M : g8f6
Tue Mar 28 15:12:25 EDT 2017 |  coup(joue) H : a2a2
Tue Mar 28 15:12:25 EDT 2017 |  coup(inscrit) H : a2a2
Tue Mar 28 15:12:25 EDT 2017 |  coup M : g8f6
Tue Mar 28 15:14:53 EDT 2017 |  coup(joue) H : a2a2
Tue Mar 28 15:14:53 EDT 2017 |  coup(inscrit) H : a2a2
Tue Mar 28 15:14:53 EDT 2017 |  coup M : g8f6
Tue Mar 28 15:15:53 EDT 2017 |  coup(joue) H : a2a2
Tue Mar 28 15:15:53 EDT 2017 |  coup(inscrit) H : a2a2
Tue Mar 28 15:15:53 EDT 2017 |  coup M : g8f6
Tue Mar 28 15:16:57 EDT 2017 |  coup(joue) H : a2a2
Tue Mar 28 15:16:57 EDT 2017 |  coup(inscrit) H : a2a2
Tue Mar 28 15:16:57 EDT 2017 |  coup M : g8f6
Tue Mar 28 15:20:32 EDT 2017 |  coup(joue) H : a2a2
Tue Mar 28 15:20:32 EDT 2017 |  coup(inscrit) H : a2a2
Tue Mar 28 15:20:32 EDT 2017 |  coup M : g8f6
Tue Mar 28 15:29:49 EDT 2017 |  coup(joue) H : a2a2
Tue Mar 28 15:30:12 EDT 2017 |  coup(joue) H : a2a2
Tue Mar 28 15:31:19 EDT 2017 |  coup(joue) H : a2a2
Tue Mar 28 15:31:24 EDT 2017 |  coup(joue) H : a2a4
Tue Mar 28 15:31:24 EDT 2017 |  coup(inscrit) H : a2a4
Tue Mar 28 15:31:24 EDT 2017 |  coup M : f7b5
Tue Mar 28 15:32:56 EDT 2017 |  coup(joue) H : b2b2
Tue Mar 28 15:33:01 EDT 2017 |  coup(joue) H : b2b4
Tue Mar 28 15:33:01 EDT 2017 |  coup(inscrit) H : b2b4
Tue Mar 28 15:33:01 EDT 2017 |  coup M : f7b5
Tue Mar 28 15:35:24 EDT 2017 |  coup(joue) H : a2a2
Tue Mar 28 15:35:28 EDT 2017 |  coup(joue) H : a2a4
Tue Mar 28 15:35:28 EDT 2017 |  coup(inscrit) H : a2a4
Tue Mar 28 15:35:28 EDT 2017 |  coup M : f7b5
Tue Mar 28 15:36:12 EDT 2017 |  coup(joue) H : b2b2
Tue Mar 28 15:36:15 EDT 2017 |  coup(joue) H : b2b4
Tue Mar 28 15:36:15 EDT 2017 |  coup(inscrit) H : b2b4
Tue Mar 28 15:36:15 EDT 2017 |  coup M : g8f6
Tue Mar 28 15:40:41 EDT 2017 |  coup(joue) H : a2a2
Tue Mar 28 15:40:44 EDT 2017 |  coup(joue) H : a2a4
Tue Mar 28 15:40:44 EDT 2017 |  coup(inscrit) H : a2a4
Tue Mar 28 15:40:44 EDT 2017 |  coup M : g8f6
Tue Mar 28 15:41:21 EDT 2017 |  coup(joue) H : a2a2
Tue Mar 28 15:41:24 EDT 2017 |  coup(joue) H : a2a4
Tue Mar 28 15:41:24 EDT 2017 |  coup(inscrit) H : a2a4
Tue Mar 28 15:41:24 EDT 2017 |  coup M : f7b5
Tue Mar 28 15:47:59 EDT 2017 |  coup(joue) H : a2a2
Tue Mar 28 15:48:02 EDT 2017 |  coup(joue) H : a2a5
Tue Mar 28 15:48:02 EDT 2017 |  coup(inscrit) H : a2a5
Tue Mar 28 15:48:02 EDT 2017 |  coup M : g8f6
Tue Mar 28 15:52:16 EDT 2017 |  coup(joue) H : a2a2
Tue Mar 28 15:52:18 EDT 2017 |  coup(joue) H : a2a4
Tue Mar 28 15:52:18 EDT 2017 |  coup(inscrit) H : a2a4
Tue Mar 28 15:52:18 EDT 2017 |  coup M : g8f6
Tue Mar 28 19:39:50 EDT 2017 |  coup(joue) H : b2b4
Tue Mar 28 19:39:50 EDT 2017 |  coup(inscrit) H : b2b4
Tue Mar 28 19:39:50 EDT 2017 |  coup M : g8f6
Tue Mar 28 19:40:20 EDT 2017 |  coup(joue) H : b2b4
Tue Mar 28 19:40:20 EDT 2017 |  coup(inscrit) H : b2b4
Tue Mar 28 19:40:20 EDT 2017 |  coup M : g8f6
Tue Mar 28 21:03:39 EDT 2017 |  coup(joue) H : b2b4
Tue Mar 28 21:03:40 EDT 2017 |  coup(inscrit) H : b2b4
Tue Mar 28 21:03:40 EDT 2017 |  coup M : g8f6
Tue Mar 28 21:05:34 EDT 2017 |  coup(joue) H : b2b4
Tue Mar 28 21:05:34 EDT 2017 |  coup(inscrit) H : b2b4
Tue Mar 28 21:05:34 EDT 2017 |  coup M : g8f6
Tue Mar 28 21:10:24 EDT 2017 |  coup(joue) H : b2b4
Tue Mar 28 21:10:24 EDT 2017 |  coup(inscrit) H : b2b4
Tue Mar 28 21:10:24 EDT 2017 |  coup M : g8f6
Tue Mar 28 21:11:31 EDT 2017 |  coup(joue) H : b2b4
Tue Mar 28 21:11:31 EDT 2017 |  coup(inscrit) H : b2b4
Tue Mar 28 21:11:31 EDT 2017 |  coup M : g8f6
Tue Mar 28 21:12:01 EDT 2017 |  coup(joue) H : b2b4
